numero_de_cliente	foto_mes	prob
12159854	202106	5.25943195384689e-09
12159858	202106	7.26972142501762e-05
12160484	202106	1.65787133699608e-07
12160591	202106	7.01567436783669e-08
12160747	202106	1.51077786128695e-07
12160769	202106	2.07713167159428e-08
12160968	202106	4.29829513366263e-06
12161135	202106	6.39129500860107e-07
12161416	202106	6.03626691559233e-06
12161961	202106	9.0859663206995e-09
12162053	202106	3.06711024051243e-08
12162107	202106	3.41630638005367e-05
12162121	202106	7.70263006197937e-08
12162221	202106	2.55212464824052e-07
12162239	202106	3.27733398512827e-07
12162256	202106	3.52985852431709e-10
12162986	202106	2.7658603883465e-10
12163196	202106	2.1402457101686e-07
12163217	202106	1.84169099082071e-07
12163274	202106	1.21992080906243e-07
12163462	202106	2.08357134567706e-06
12163726	202106	2.49201178095102e-09
12163843	202106	1.0759622031791e-06
12163979	202106	5.75068955430901e-10
12164167	202106	1.77367775384494e-09
12164199	202106	1.90725686869215e-06
12164249	202106	1.43188215215596e-09
12164629	202106	4.68874857633002e-07
12165096	202106	6.59622003666081e-08
12165971	202106	5.76001264588399e-06
12166152	202106	0.000242593754667889
12166419	202106	1.30097521655475e-06
12166426	202106	2.37753389829172e-09
12166576	202106	0.000231350979920866
12166893	202106	1.62870413864561e-07
12166960	202106	2.92616525249579e-06
12167284	202106	7.8148895028972e-07
12167288	202106	3.858124164396e-05
12167466	202106	0.00123693612881849
12167707	202106	1.165233631779e-09
12167878	202106	1.43484586346763e-05
12168035	202106	1.02095446082079e-05
12168569	202106	1.89276730538178e-08
12168572	202106	1.06934843885898e-06
12168750	202106	6.35111920927522e-05
12169010	202106	3.36357502412657e-08
12169223	202106	9.65881830716328e-08
12169646	202106	4.61548054040549e-09
12170138	202106	4.17419755255091e-06
12170319	202106	1.39540644285967e-06
12170341	202106	3.73232993396896e-08
12170714	202106	6.66058084758197e-09
12170810	202106	1.31445228050124e-08
12171344	202106	1.43032200395567e-11
12171393	202106	2.69056034567046e-07
12172056	202106	1.73539333205755e-07
12172710	202106	7.08798999187906e-09
12173792	202106	2.50513869628345e-08
12174034	202106	1.85548975567853e-07
12174329	202106	8.08011884252147e-10
12174418	202106	1.19370070002751e-07
12174710	202106	1.30793695349325e-09
12174934	202106	2.37407366676357e-07
12175201	202106	0.000141760686444235
12175243	202106	6.04931524872428e-07
12175254	202106	2.78593079620441e-08
12175404	202106	7.78055610830541e-08
12175439	202106	1.34487495494622e-06
12176301	202106	1.57989170932773e-09
12176461	202106	0.000334485770409804
12176525	202106	1.14054388986523e-08
12176777	202106	2.81216695626317e-09
12177190	202106	5.63449137811273e-05
12177265	202106	9.07638818230615e-09
12177268	202106	1.99207060588959e-07
12177429	202106	4.13090573444218e-09
12177592	202106	7.76019357722655e-06
12177706	202106	7.92289874554738e-09
12177809	202106	0.000319815426892692
12177856	202106	0.000198045317670299
12177966	202106	2.00013904816707e-05
12178236	202106	4.55789408108424e-08
12178247	202106	4.59221975643139e-05
12178300	202106	2.41796925443762e-08
12178325	202106	1.34525763611325e-05
12179012	202106	9.57865086352683e-09
12179453	202106	1.85028028223161e-05
12179880	202106	0.00015058465479251
12179912	202106	4.91579228657136e-06
12180183	202106	3.46904946397047e-09
12180332	202106	2.36293767826037e-07
12180456	202106	1.57357912027564e-10
12180567	202106	0.000569407706677152
12180649	202106	6.60184067519729e-07
12180691	202106	7.71533900982225e-08
12180752	202106	1.26195596980758e-07
12181126	202106	8.5680442614336e-11
12181246	202106	0.006145085719588
12181456	202106	1.53074762606449e-08
12181556	202106	6.71882965921446e-06
12182374	202106	6.20252521080909e-09
12182439	202106	6.41452544573125e-05
12182627	202106	4.51948835474089e-09
12182926	202106	2.80903690660279e-08
12183008	202106	0.00404846046383536
12183051	202106	7.44514253945836e-08
12183082	202106	7.27944447245248e-10
12183677	202106	1.15733829795093e-05
12183819	202106	5.20317500872844e-08
12183879	202106	5.43406616844256e-06
12184648	202106	4.19330722119674e-06
12184676	202106	6.98543665702344e-09
12184886	202106	9.61345903226037e-07
12185046	202106	2.66723960019899e-06
12185829	202106	2.08397160721919e-07
12185940	202106	3.95458174342509e-08
12186029	202106	4.11983264182462e-11
12186086	202106	2.37054844918269e-06
12186573	202106	1.3594559259475e-09
12187519	202106	1.20555821927804e-06
12187573	202106	2.49095630734097e-09
12187683	202106	2.86527319369534e-05
12188221	202106	4.60458390172234e-10
12188323	202106	1.61070230268987e-07
12188907	202106	3.87800471838775e-09
12189345	202106	2.20501407015171e-08
12189761	202106	1.3577039068713e-08
12190032	202106	1.8269357480428e-07
12190227	202106	3.39379311292294e-08
12190313	202106	1.72166204267791e-08
12190323	202106	0.00170747896168672
12190918	202106	1.22390646762665e-08
12190964	202106	5.15181495217529e-10
12191092	202106	1.52253440671902e-05
12191576	202106	1.17324674333122e-09
12191711	202106	1.56597960677467e-08
12191836	202106	1.75563276903731e-08
12191939	202106	1.50976538693028e-07
12192120	202106	2.96936369899159e-08
12192344	202106	1.08543238338312e-06
12192419	202106	0.00427356874911582
12192583	202106	2.28390497072911e-06
12192953	202106	1.13253352504562e-08
12193039	202106	2.51158558561824e-08
12193270	202106	3.52112632718434e-10
12193344	202106	2.84644890391683e-08
12193526	202106	1.42636004798777e-08
12193590	202106	1.44633404797005e-09
12193885	202106	1.4107764430246e-08
12193924	202106	3.14324083029221e-06
12194255	202106	2.68475832121533e-09
12194486	202106	8.07451759756499e-07
12194615	202106	2.82354713777136e-07
12194654	202106	1.79379320651947e-05
12194779	202106	0.000230627517778504
12195319	202106	5.89555055157529e-08
12195572	202106	6.63824758629825e-10
12195643	202106	2.74454105726406e-05
12195760	202106	1.41655503815266e-07
12195768	202106	1.48436264062243e-09
12195881	202106	9.93229312755656e-08
12195970	202106	8.35596720688719e-09
12196145	202106	0.000113383976379254
12196493	202106	7.7335126506443e-09
12196828	202106	7.41587462030056e-09
12196878	202106	9.39905345930507e-10
12197013	202106	7.6358718279278e-10
12197479	202106	4.54360942833069e-07
12197525	202106	7.41244047611036e-06
12197682	202106	9.25591390220243e-07
12197771	202106	1.29761094870158e-07
12198109	202106	6.62283220341957e-05
12198194	202106	5.32620217882786e-09
12198358	202106	6.52034092625031e-08
12198436	202106	1.22400927133213e-07
12198596	202106	3.03561040127171e-06
12198881	202106	0.000796686058603734
12199052	202106	1.09402663966953e-09
12199518	202106	6.13126732744233e-09
12199582	202106	2.48792422257245e-08
12200016	202106	1.99480352415507e-08
12200859	202106	1.47392008407845e-06
12201219	202106	0.900478103860493
12201304	202106	5.15777289751719e-10
12201518	202106	0.000692308823032601
12201599	202106	2.63896456188157e-08
12201624	202106	2.46865744029295e-08
12202151	202106	5.29677599196687e-08
12202190	202106	0.000161714638680122
12202912	202106	7.07122635817223e-08
12202987	202106	0.00172864657224359
12203066	202106	1.71431199797007e-09
12203492	202106	2.58186065931653e-06
12203531	202106	2.71321622778313e-05
12204268	202106	2.04861965013804e-05
12204542	202106	1.16849234923166e-08
12204681	202106	0.00116846066873479
12205318	202106	1.23986495065391e-07
12205393	202106	2.52399543433305e-09
12205546	202106	6.71466705368733e-07
12206061	202106	1.70610865941969e-07
12206126	202106	2.20282930794965e-10
12206353	202106	8.22119754480522e-07
12206510	202106	7.35274534936133e-07
12206524	202106	1.41976346608872e-08
12206535	202106	6.45050577575583e-08
12207474	202106	0.00101737967683637
12208659	202106	6.61056583871453e-07
12208769	202106	3.75370866793872e-07
12208876	202106	7.07994391646248e-08
12209331	202106	2.38862038579279e-06
12209890	202106	9.35989321443709e-09
12210082	202106	4.37702903940802e-08
12210299	202106	4.7328500129186e-08
12210434	202106	4.49536703106166e-07
12210954	202106	6.99289781982399e-05
12211089	202106	2.33522911797439e-08
12211185	202106	2.18052205547024e-08
12211278	202106	6.46708832431348e-06
12211370	202106	1.58429781910877e-08
12211399	202106	5.24869083794915e-10
12211826	202106	8.06364001759729e-08
12212000	202106	1.75439105074336e-09
12212096	202106	5.1665977295588e-07
12212423	202106	3.29425028551682e-08
12212648	202106	5.41464318391449e-09
12213043	202106	2.3531803601249e-08
12213655	202106	1.61754639253695e-07
12213701	202106	1.38378944716592e-07
12213751	202106	0.00347839423396897
12213872	202106	5.65700339173976e-10
12214221	202106	8.35047079402801e-06
12214281	202106	8.17442613401512e-10
12214349	202106	1.02654014332745e-05
12214473	202106	1.51639519908312e-07
12216028	202106	5.94552243190395e-09
12216661	202106	4.43478214090015e-07
12216992	202106	2.6685708962199e-07
12217003	202106	4.68816012701904e-07
12217270	202106	0.0649767795778179
12217640	202106	1.73130502541636e-05
12217889	202106	3.78508183456256e-07
12217910	202106	9.17389723037048e-07
12218369	202106	4.45654088319047e-11
12218519	202106	7.75234304551787e-06
12218561	202106	6.16548331376655e-05
12219003	202106	7.58033029812713e-08
12219383	202106	1.25743505404314e-06
12219682	202106	8.10898614047296e-06
12220337	202106	5.75523280329794e-10
12220454	202106	1.32099706020301e-09
12220782	202106	1.00786191803437e-07
12220810	202106	2.05382262939614e-10
12220817	202106	0.00182157497450758
12221159	202106	8.00582472429604e-12
12221273	202106	2.64812240776792e-07
12221671	202106	4.9100624765266e-08
12221821	202106	1.50693661966317e-06
12221988	202106	4.6337691880638e-09
12222027	202106	1.27069812371478e-08
12222266	202106	6.26432246839912e-08
12222316	202106	3.3641998778773e-07
12222596	202106	2.38212974681027e-06
12222625	202106	4.12938602986231e-10
12223127	202106	7.34842468587264e-08
12223169	202106	5.79114422377559e-10
12223198	202106	3.28011676947836e-08
12223454	202106	7.33112023447251e-08
12224333	202106	8.03899291231655e-07
12224706	202106	2.96708109833863e-08
12224895	202106	0.00793822171278411
12224966	202106	1.09040492205208e-10
12225176	202106	1.45940170582688e-08
12225436	202106	8.05428879610123e-08
12225771	202106	2.46526897776631e-06
12225952	202106	1.87722228826041e-09
12226194	202106	1.81780725443213e-07
12226404	202106	4.52505511019985e-09
12226617	202106	0.00584012034629967
12226838	202106	1.85253645653722e-08
12226948	202106	1.38669911727907e-07
12227112	202106	5.24518301231251e-09
12227425	202106	3.42608259986952e-09
12227514	202106	1.32708811453375e-09
12227656	202106	3.03540398002248e-06
